name,mass,year,reclat,reclong,GeoLocation
Nelson County,73030,1856,37.75,-85.5,"(37.750000, -85.500000)"
Uwharrie,72700,1930,35.51667,-79.96667,"(35.516670, -79.966670)"
Uruaçu,72500,1992,-14.53333,-48.76667,"(-14.533330, -48.766670)"
Isoulane-n-Amahar,72000,1945,27.12917,8.66722,"(27.129170, 8.667220)"
Mafuta,71500,1984,-16.9025,30.40722,"(-16.902500, 30.407220)"
Merua,71400,1920,25.48333,81.98333,"(25.483330, 81.983330)"
Portales Valley,71400,1998,34.175,-103.295,"(34.175000, -103.295000)"
Sierra Colorada,71300,1995,-40.8,-67.48333,"(-40.800000, -67.483330)"
Tlacotepec,71000,1903,18.65,-97.55,"(18.650000, -97.550000)"
Wooramel,71000,1969,-25.65,114.21667,"(-25.650000, 114.216670)"
Mahadevpur,70500,2007,27.66667,95.78333,"(27.666670, 95.783330)"
Smithville,70500,1840,35.98333,-85.85,"(35.983330, -85.850000)"
Peña Blanca Spring,70000,1946,30.125,-103.11667,"(30.125000, -103.116670)"
Lahmada 009,70000,1999,27.16667,-9.5,"(27.166670, -9.500000)"
Smithonia,69900,1940,34,-83.16667,"(34.000000, -83.166670)"
Landes,69800,1930,38.9,-79.18333,"(38.900000, -79.183330)"
Xinyi,69000,1975,34.36667,118.33333,"(34.366670, 118.333330)"
Wu-chu-mu-ch'in,68860,1920,45.5,118,"(45.500000, 118.000000)"
Burlington,68000,1819,42.75,-75.18333,"(42.750000, -75.183330)"
Hamilton (Queensland),68000,1966,-28.48333,148.25,"(-28.483330, 148.250000)"
Marlow,68000,1936,34.6,-97.91667,"(34.600000, -97.916670)"
Soledade,68000,1986,-29.05,-51.43333,"(-29.050000, -51.433330)"
Springwater,67600,1931,52,-108.3,"(52.000000, -108.300000)"
Rahimyar Khan,67225,1983,28.225,70.2,"(28.225000, 70.200000)"
Pervomaisky,66000,1933,56.63333,39.43333,"(56.633330, 39.433330)"
Timochin,65500,1807,54.5,35.2,"(54.500000, 35.200000)"
Sychevka,65000,1988,51.125,127.495,"(51.125000, 127.495000)"
Bocaiuva,64000,1965,-17.16667,-43.83333,"(-17.166670, -43.833330)"
Signal Mountain,63500,1919,32.5,-115.5,"(32.500000, -115.500000)"
Treysa,63000,1916,50.91667,9.18333,"(50.916670, 9.183330)"
Derrick Peak 88017,63000,1988,-80.06667,156.38333,"(-80.066670, 156.383330)"
Santa Clara,63000,1976,24.46667,-103.35,"(24.466670, -103.350000)"
Tanezrouft 072,62285,2002,24.43817,0.103,"(24.438170, 0.103000)"
Thunda,62100,1881,-25.7,143.05,"(-25.700000, 143.050000)"
Covert,61000,1896,39.2,-98.78333,"(39.200000, -98.783330)"
Gold Basin,61000,1995,35.875,-114.23333,"(35.875000, -114.233330)"
Hex River Mountains,60000,1882,-33.31667,19.61667,"(-33.316670, 19.616670)"
Nicolás Levalle,60000,1956,-38.85028,-62.87889,"(-38.850280, -62.878890)"
Savannah,60000,1923,35.16667,-88.18333,"(35.166670, -88.183330)"
Yongning,60000,1971,22.75,108.33333,"(22.750000, 108.333330)"
